,Accuracy,Precision,Recall,F1 Score,Cross-Entropy Loss
MLP,0.9759,0.9759397053661313,0.9759,0.9758857980726489,0.8686520466777236
CNN,0.9889,0.988909679179129,0.9889,0.9888887791866992,0.4000845526192006
